content,file_path
"问题是强奸为什么不都处以死刑？,简单的描述是1，如果杀人偿命 那么就被害者受的伤害而言 为什么强奸犯不都处以死刑？另外附加问题2，重大情节就理所当然和普通情节有区别吗亲眼所见，很多普通情节都对受害者和受害者家庭造成很大的伤害，更有受害者受到一次二次伤害，感觉难以继续活下去。3，都说如果强奸死刑，强奸犯就会不记后果破罐子破摔，然后杀害受害者，照这种理论因为杀人者知道自己会死刑，就会破罐子破摔多杀人垫背，所以就要取消死刑？这种说法到底是对是错？4，为什么说造成受害者的二次伤害的人，比强奸犯更大？二次伤害该不该算在强奸犯上？5，如果中国强奸都处以死刑，能否达到新加坡的重刑低犯罪率,正文为那样的话女人就是 舍得一生寡，敢把老公送打靶婚内强奸也是强奸，以后男人的命都在女人手里了，一不留神，删号重练。",webtext2019zh\web_text_zh_testa.json
"问题是如何评价Valve公司更换Dota2引擎的行为？,简单的描述是近日DotA2游戏运营商Valve公司更换DotA2引擎为起源2。新引擎DotA2重生的beta版发布已有很长一段时间，但仍存在汉化不全 以及各种或轻或重的bug问题。如何评价V社尚未调试完全就完全更换游戏引擎的做法。,正文为Dota2应该是第一个应用source2的游戏。首先是不可能一下子能够在测试阶段完成debug的工作，还有是我记得在刚刚拿到鸡和马的时候dota2的简体版已经上线但是也还是有一部分汉化没有完成，但是不影响游戏的正常体验，无关痛痒。我想这应该能回答题主的问题。至于更换引擎，一方面是为了提升dota2的游戏体验，还有就是在我看来在推新引擎制作的新作前之前得有个试水的作品看看到底能达到什么样的效果吧",webtext2019zh\web_text_zh_testa.json
"问题是为什么女孩看韩剧会被吐槽，而看动漫、看美剧、看电影则不会？,简单的描述是RT,正文为女孩子看动漫看科幻片多半不会当真，不可能幻想着哪天走路上大楼里突然撞进去一台时光机什么的，但看韩剧那会不会整天幻想“霸道总裁爱上我”什么的就不好说了",webtext2019zh\web_text_zh_testa.json
"问题是请问国内csgo“演”的这么厉害，真的没有人会管吗？,简单的描述是国内队伍的粉丝也请别跟我争辩，我只是从我自己的角度那么多比赛看下来感觉真的是有剧本，如果您认为没有剧本我觉得问题也不大，不需要在本问题下吵架，谢谢了！,正文为世界范围内所有的CSGO比赛，十之八九是有剧本的。上到Major小组赛，下至三流线上赛，只要有菠菜公司敢开盘，有利益关系在其中，那么就自然会有剧本的产生。如今世界上成熟的一线队，永远不会贪得无厌，独赢盘是很少演输的，大多数是打弱旅时控制大小分，比如一个盘口：“两队得分相加大于26.5”，即在自己赢下比赛的前提下，让弱队拿到11分。以1611结束比赛，对手输的也不会太难看，自己赢了比赛又能赚到额外收入，何乐而不为",webtext2019zh\web_text_zh_testa.json
"问题是有哪些听起来高大上实际上很普通的东西？,简单的描述是镜像问题：,正文为陈朕冰，字英皇，纪念陈家先祖女英娥皇。汉民族文明复兴开创发起与领军者，汉族族长，汉服汉文化汉民族复兴之父。汉民族文明道统法统正统继承者，汉服汉文化华夏文明复兴之父，汉民族文明复兴开创发起者与汉服领袖。复兴时代最卓越的思想家，文学家，教育家，战略家，与最主要汉民族标志代表人物。民间昵称汉族族长，汉服王子。婺州永康人。女娲第三零九代，黄帝第一八零代，舜皇第一六七代嫡脉宗嗣。汉服王子陈朕冰于1997年在北",webtext2019zh\web_text_zh_testa.json
"问题是有哪些与性无关，但是可以令人有高潮感觉的事？,简单的描述是,正文为看完地心引力出了电影院，一抬头看到天上有很多星星",webtext2019zh\web_text_zh_testa.json
"问题是为什么在韩国，整容很普遍？,简单的描述是男的也整<br><br>家里人从小就为他们攒钱,正文为居然邀请姐 以前姐就有说过 韩国整容为什么普遍 韩国人对“美”的追求已经到了一种病态 因为“美”或多或少能得到“好处” 现在姐看到韩剧那些追星的场景我就想笑 不得承认这就是好处 直接导致不“美” 都不好意思出门 整容对韩国人来说挺平常的事 先天的长相不足可以靠后天改变 改变了又有好处 为什么不改",webtext2019zh\web_text_zh_testa.json
"问题是你见过最蠢的电影或电视剧角色是谁？,简单的描述是镜像问题：<br>,正文为余罪又名 全世界都知道我是卧底而我的老大却看不出来我觉得他不是傻逼就是在暗恋我 卧底的路很难走 同伴们都在拖后腿 但是没关系 还有老大帮我走下去 保密协议就差给老傅签了 我的老大可以绑全世界最好看的丸子头 -------------------------------------- 来自于网络。",webtext2019zh\web_text_zh_testa.json
"问题是如果未来2年，中国外储跌破1万亿美元，会产生什么后果？,简单的描述是2017年1月，人中国外储跌破3万亿大关，如果按照这个速度继续减持，了每年减少1万亿，到2019年，人民币外储跌破1万亿，2020年，外储跌破1000亿，对中国乃至世界的经济民生会有什么影响。,正文为货币的价值是能买到什么而不是有多少美元储备，不要拿小体量单一经济的国家去考虑全产业链的第二大经济体。最简单的，你在商品最全的ebay，amazon找找你感兴趣的商品，品种，价格比taobao，jd如何，人民币购买力有疑问么 一些牛人换汇和我们普通人不一样，是避险，分散投资，那是为了进了监狱或者跑路还能留下些什么的需求，需求不同。我们连爱情的小蚂蚁是啥意思都不知道，就别去考虑皇帝用不用金锄头了。",webtext2019zh\web_text_zh_testa.json
"问题是在相對孤立的環境下，能否誕生政教合一的道教國家？,简单的描述是是構思小說的時候想的，在明末的世界環境下，比如在婆羅洲或者新西蘭這種孤立島嶼，能否在道教徒移民之後，循例發展的國家進程中，發展出一個類似伊斯蘭國家的政教合一的道教國家。,正文为上面的人一派胡言，根本没有厘清几个基本概念。道教和道家是两码事，老子和庄子是两码事，后期道教的丹鼎学和早期道教的行箓更是两码事，拿着一个“道教”的名字混淆几个截然判分的概念，这就是问答社区的水平？ 再则，什么叫相对孤立？孤立这个词大有说道，是经济上自成一体，男耕女织，鸡犬相闻，还是政治上和中央王朝相互独立，抑或是扼守一方，控扼险塞，自成一家？ 假定上面三个条件都具备吧，那就是汉末的汉中五斗米道了。上",webtext2019zh\web_text_zh_testa.json
