content,file_path
"问题是芝加哥大学和西北大学哪个更好？,简单的描述是<blockquote>,正文为我觉得这个问题有一点挑口水你就好比是问茄子和西红柿哪个好想吃水分多的水果，那西红柿好，想吃口感更丰富的一点的，就是茄子好。大学肯定不是用好不好这个标准来做评价的。",webtext2019zh\web_text_zh_testa.json
"问题是你极力推荐的Chrome扩展有哪些？,简单的描述是,正文为居然没有人提Vimium：httpschrome.google.comwebstoredetaildbepggeogbaibhgnhhndojpepiihcmeb 键盘流的必备神器",webtext2019zh\web_text_zh_testa.json
"问题是如果一名基督徒选择不完全相信圣经的所有内容，那他是如何决定圣经哪里不应该相信呢？,简单的描述是每次跟问答社区上的基督徒讨论旧约的时候，总是有一种他们很抗拒的感觉。,正文为我是一名基督教徒。头像纯属搞笑赶时髦，和信仰没什么关系，hah。信教是因为家族传承，我很年轻，才19岁，最近几年才对基督教开始有深刻的理解。我前天刚刚听到一篇道，深有感触，今天就看到这个问题，所以借着传道人所讲的和我自己理解的来回答一下。如有谬误请各位指正。圣经不是一本历史书，而是一本人物传记，古人为上帝写的传记，目的是为了告诉人们上帝是谁，上帝是怎样的。对于历史书你可以选择部分相信，因为他有",webtext2019zh\web_text_zh_testa.json
"问题是怎样才能让美少年包睿履行其「穿女装」的承诺？,简单的描述是<img src,正文为我也凑份子钱。你们不要太乐观，当年这货说要给我寄酸菜，到现在酸菜叶都没见到。人家 桃喵喵 说要寄排骨，那是说寄就寄。哼",webtext2019zh\web_text_zh_testa.json
"问题是据说2018年非法本学生无法参加司考，你们怎么看？,简单的描述是,正文为既然已经有一个司考的门槛，就不应该再设置一个门槛。既然觉得非法本不够专业，缺少法学思维那么应该改革的是司考本身，而不是设置成为准入门槛。这个回答里所有的法本都在问非法本怎么不读法律本科，只是本质上他上了这个船想把其他挤进这个船的人推开。和那些反对统一考试的北京上海家长一个概念。既然如此，那就抓紧17年机会考过去吧。和说利益的何必说理呢？",webtext2019zh\web_text_zh_testa.json
"问题是和男票约会，一女同学非要跟着一起去怎么办？,简单的描述是怎么有礼貌地隐晦地拒绝这个电灯泡？最好让她还没有反应过来我们就走了？,正文为问她愿不愿意和你一起让你男票双飞。一如果她愿意： 1如果你男票愿意： a.如果你愿意：哎哟喂，多爽的事啊！ b.如果你不愿意：你男票竟然愿意？分手！ 2如果你男票不愿意：哟，挺会装的嘛，老娘就放你一马。二如果她不愿意：那你丫跟来干嘛？",webtext2019zh\web_text_zh_testa.json
"问题是王小波先生弟弟的事情是真的吗？,简单的描述是“王小波和李银河吹捧了一辈子美国人的高尚道德，却很少有人知道他的弟弟就是在美国街头被人刺死的，根据事后的监控显示他临死前挣扎了很久，这段时间路过的车辆和人很多，但没有人停下来帮助他，等最后被发现并送到医院时，早已停止了呼吸。”,正文为前言 弟弟王晨光遇难十多年了。我一直有一个念头，要把这一事件的始末写出 来，昭示于天下 。当年事情发生时，有人提醒我们应当做记录，我挺听话地记录了一 年有余。但要行笔成文，确是十分困难，每次重读那些记录无异于重揭伤疤，鲜血淋漓 惨不忍睹。晨光去世两年和五年之际我都曾试图整理出来，但都写不下去。晨光遇难，对我们来说太悲惨太不寻常。它让我看到了人性中凶残冷酷愚昧的 一面，为了一点点钱就可以夺去别人的生命",webtext2019zh\web_text_zh_testa.json
"问题是用微信陌陌约炮是一种怎样的体验？,简单的描述是微信陌陌素有<b>“<b>约炮神器<b>”<b>之称。<br><br><b>请问各位有没有相关的经历呢？微信“摇一摇”该怎么进行约炮？<b><br><br>麻烦有这方面<b>经历经验<b>的知友来谈谈感受，希望能详细描述一下<b>前因后果。<b><br><b>例如：用什么进行约的，怎么约的（譬如：用微信陌陌约时，说了写什么，最好有聊天截图。），约成功后有什么感受，然后做了些什么，约后有什么感受？<b>么么哒<br><br><u><b>PS：禁止在此问题中进行约炮，以及发布低俗内容。<b><u>,正文为健康问答社区，文明浏览。",webtext2019zh\web_text_zh_testa.json
"问题是怎么看中国的迅速崛起？,简单的描述是近年中国的迅速崛起，表现在各个方面甚至很多领域已经出现世界首例以及世界第一的字样，是否能说明我国的制度要比欧美的制度好。还有个疑问，现在美国是否在吃二战的老本，人才的数量和质量不断减少而中国却在飞速上升，这样的话100年后中国是不是就可以全面碾压美国了？,正文为就冲着现在有钱人都想着移民（我的第一观感，没有数据证明）。我感觉就够呛。中国的崛起也是中国人崛起。好吧好吧，我没有数据，但是我的二姨和我的表弟却实是移民到了美国。",webtext2019zh\web_text_zh_testa.json
"问题是迪丽热巴的人品怎么样？,简单的描述是迪丽热巴长得很好看，演技也比较好，路人缘很棒的样子，基本没什么黑料。<br><br>可还是有声音，说私下接触过她，性格难以描述，人不可貌相云云...绝非个人编造。<br>还有一个朋友，专门机场街拍的那种，接触了一次她说很会面上功夫，为人很作。<br><br>觉得各种通稿啊都不能信，那个看不出人品。<br>所以很好奇，通稿外的她会是如何？有没有和她接触过的来说下...,正文为我是热巴“黑料”澄清贴 1.演唱会 事件由在场歌迷爆出。部分人恶意造谣热巴自带狗仔 造谣自带签名笔 实际与剧组同伴一起受邀参加演唱会捧场。造谣黄牛票 双方皆迅速澄清。2.羞辱丑胖助理事件 讲真，这个事情一开始还是黑子口中“丑胖助理”自己爆出来的。品一品盖特的语气，这是被羞辱过后的反应？ 那么就凭盖特日常怼热巴的做法，我还可以说工作人员欺负艺人呢 3.“金主” 4.所谓富二代男友 5.所谓半夜敲门 6.所谓堕",webtext2019zh\web_text_zh_testa.json
